"영업월","역사","승하차 구분","00시 통행량","01시 통행량","02시 통행량","03시 통행량","04시 통행량","05시 통행량","06시 통행량","07시 통행량","08시 통행량","09시 통행량","10시 통행량","11시 통행량","12시 통행량","13시 통행량","14시 통행량","15시 통행량","16시 통행량","17시 통행량","18시 통행량","19시 통행량","20시 통행량","21시 통행량","22시 통행량","23시 통행량"
"2024-10","신흥역","승차","2","0","0","0","6","1647","2291","6672","9298","4230","2818","2496","2670","2761","2052","1997","2630","2826","2762","1335","987","560","523","165"
"2024-10","신흥역","하차","165","0","0","0","1","302","914","1428","2024","1344","1518","1783","2285","2060","2224","3195","3848","4499","6949","3800","2552","2782","2488","1171"
"2024-10","오룡역","승차","4","0","0","0","35","2134","3140","9566","19210","7878","5472","6006","6860","6309","5669","5327","7536","8571","14600","4698","2719","2249","1445","849"
"2024-10","오룡역","하차","77","0","0","0","33","430","1544","4445","13618","6073","4047","4443","4586","4656","4929","6019","7147","8685","13725","5758","4485","4382","4149","2657"
"2024-10","용문역","승차","16","0","0","0","44","3141","5140","11538","24415","10780","10100","10763","11823","11876","13347","11281","13617","13621","12565","6786","6416","7863","3733","3050"
"2024-10","용문역","하차","18","0","0","0","29","783","2877","5483","15026","11922","9696","11653","10035","10681","10638","11861","13542","15759","25334","13876","8295","8012","5754","3486"
"2024-10","월드컵경기장역","승차","24","0","0","0","1","759","1999","5955","11179","5123","4416","4089","3883","4447","4203","4636","7137","6081","6854","3163","2517","5840","2384","374"
"2024-10","월드컵경기장역","하차","386","0","0","0","0","413","1227","4225","5921","3650","3011","3246","4141","4600","3836","4764","6424","7220","8960","4217","3126","3343","2781","1702"
"2024-10","월평역","승차","51","0","0","0","1","1969","3187","6327","13024","6459","5336","5256","5633","6039","5703","6235","7045","7793","8735","4367","3528","3473","2340","1114"
"2024-10","월평역","하차","333","0","0","0","7","403","908","2461","7180","5286","4598","4860","5588","5617","6145","6741","7245","8803","12883","6716","5168","5503","4855","3076"
"2024-10","유성온천역","승차","146","0","0","0","18","3087","6605","17255","32395","15031","13055","13574","15394","15565","15703","18257","21069","22299","23112","12910","10771","9958","6743","4177"
"2024-10","유성온천역","하차","795","0","0","0","8","2188","4002","8753","21242","16259","13157","14249","14826","14984","16006","16235","19746","25152","37003","18122","13265","13816","12542","7235"
"2024-10","정부청사역","승차","9","0","0","0","16","1027","2074","5489","9702","6701","6637","7905","8601","9009","10140","12352","15732","21604","38314","11485","8955","7273","5094","1882"
"2024-10","정부청사역","하차","482","0","0","0","15","2003","4499","13079","50007","16768","10046","8825","9689","10392","10002","9630","10354","11786","13529","7165","4999","5086","3759","1712"
"2024-10","중구청역","승차","22","0","0","0","10","625","1382","3242","6093","3004","2724","3268","3396","3441","3557","4334","6099","6299","8135","2643","2370","1905","1213","588"
"2024-10","중구청역","하차","125","0","0","0","11","458","1309","4584","11764","4968","3227","3201","3387","4108","3349","3298","3521","4145","5828","2668","1953","1884","1629","1136"
"2024-10","중앙로역","승차","67","3","0","0","7","793","1353","3553","6947","4205","4387","6050","8284","10000","11881","13922","16150","18265","21619","13016","11775","10533","6017","3358"
"2024-10","중앙로역","하차","197","3","0","0","6","660","1546","3941","15276","9994","10514","14743","15507","15630","15014","14521","14840","16288","19310","9439","5071","3753","2550","1365"
"2024-10","지족역","승차","39","0","0","0","15","795","1561","4234","6152","3767","2957","3102","3452","3349","3102","4025","4174","5290","10945","3003","1891","1832","1022","717"
"2024-10","지족역","하차","353","0","0","0","13","321","888","2804","13446","3886","2257","2421","2704","2592","2753","3123","3700","4446","5657","3184","2588","2511","2519","1390"
"2024-10","탄방역","승차","0","0","0","0","1","1448","3046","6245","10866","6226","5714","7095","6196","6985","6875","8015","7712","12193","17128","5581","4480","5029","4669","1145"
"2024-10","탄방역","하차","7","0","0","0","0","1208","2318","6810","23862","10662","6623","6103","6514","7971","6697","6723","7729","9229","14234","6940","4151","4164","2852","2218"
